"master_section","original_heading","original_start_line","original_section_sha256","requirement_summary","requirement_origin","source_basis","master_sha256","phase_and_criteria","phases","target_artifacts","mapping_status","original_text_verified","implementation_status","non_goal","limitations"
"11","PROOF ALIGNMENT LAYER","476","a13aea97b31fb1ee9aa820e2af24271689726030053b0bab049723c5dda3f486","多对多对齐包含prose/formal/proofnode IDs、范围、前后状态、假设、策略、审阅与证据；不用行号唯一定位。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P05-01;P05-02;P05-04;P05-06","5","data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"12","TWO INDEPENDENT STATUS DIMENSIONS","527","b059057ad7b152c542ea44e1e57572671689d42163c59a453318633eed81c03a","形式验证六态与作者对齐六态独立，不合并绿勾。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-05;P05-05;P06-05","2;5;6","formal/;schemas/;data/formal/;docs/verification-policy.md;data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md;tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"13","AUTHOR-FAITHFUL FORMALIZATION","565","e6fe5b530b1665c22cfc7fe62cf30d3912a63ebc9e29cb830ced648240a87e2b","默认保留作者路线，区分忠实形式化、实现细节、补充步骤、替代证明；报告原证明缺口。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P04-03;P04-06;P05-03","4;5","notes/benchmark-12/;data/notes/;benchmarks/notes/manifest.json;reviews/notes/;data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"14","LIVE LEAN ENVIRONMENT FOR STUDENTS","586","e3c4b8adbd6bc599c76b68aba9cc1c152a8576f829b7ee44ddba09dc74a2e148","发布阅读使用版本化预计算证据；编辑模式真实运行Lean并区分学生与作者版本。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P04-05;P06-01;P06-05;P06-06","4;6","notes/benchmark-12/;data/notes/;benchmarks/notes/manifest.json;reviews/notes/;tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"15","LEAN INTEGRATION RESEARCH TASK","612","70088d1bd51a83ad6082fcbc91193418dcbd471e256166e777f256a6f48870fa","调查当前Lean生态版本/维护/许可证/边界/性能/失败模式，断网明确BLOCKED。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P00-03;P02-01;P06-03","0;2;6","docs/current-state.md;docs/assumptions.md;docs/architecture-plan.md;docs/acceptance-criteria.md;docs/phases/phase-00/acceptance.json;formal/;schemas/;data/formal/;docs/verification-policy.md;tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"16","LEAN EXECUTION SECURITY","658","de08fbc602bb6f88ae449c1a243e646dcbf3bdae95b1908831c9c3473645ea1c","不可信学生代码必须有进程/会话/文件/网络隔离、CPU内存时间限制，无宿主凭据与发布写权限。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P06-03;P07-07;P10-06","6;7;10","tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md;docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/;benchmarks/scale/;docs/scale-report.md;docs/release-gate.md;docs/deployment.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"17","GRAPH PROVE","680","0230b5e7999492a95d1f81db9af1b5c57c628d7873aebbc4acb9db818dda9771","Graph Prove从图操作生成形式义务并经Lean检查，不是只展示完成证明。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P07-01;P07-02;P07-06","7","docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"18","PROOF GRAPH SEMANTICS","700","30a7781d60424c5746648e16bd50edcb51317be75cea36042bc4e2ced429d65c","证明图记录局部上下文、变量、类型、目标、作用域、分支、多前提与见证；类型化图/超图/DAG候选须论证。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-04;P07-03;P07-04","2;7","formal/;schemas/;data/formal/;docs/verification-policy.md;docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"19","GRAPH PROVE MVP OPERATIONS","729","9567707f72492fe4d765421ca98b9f1844f3ee810046fd90cda03eba132fb988","八类图操作：引入、应用、exact、重写、构造、分类、归纳、中间引理；不支持项明确标注。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P07-01;P07-02","7","docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"20","GRAPH PROVE EVIDENCE","748","20db442b7f53a22458eb41b61db7cf2aecbd879c8d7460fc15efda2afdde0837","已验证推理边必须指向实际形式片段、声明、项或检查义务；连通不等于证明。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P07-04","7","docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"21","GRAPH PROVE ROUND-TRIP","764","63970d3bf1aeb40d7a80ede7d13a4bebc1752927af507364555a13a0b7bf2c7b","受支持子集Graph→Lean→Graph语义往返保持陈述/上下文/作用域/依赖/分支/状态，不要求文本相同。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P07-03","7","docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"22","PROOF SEMANTIC ZOOM","793","120e8e628927346cb96e59ae76a93c68978a62797aa0f73847c2a2d2f0376bc4","证明语义缩放可回到具体步骤/状态，折叠保留来源与形式边界。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P07-05;P09-C","7;9","docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/;research/phase-9/;research/phase-9/index.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"23","BOURBAKI FORMALIZATION LAYER","827","ecde09d9e010837921e0c73d8522a1ed416f684f24b51d6642ea79604fc02b03","结构化重组形式库，检查实际假设、原始定义、重复抽象、过强结构、共同构造与模块边界。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P08-01;P08-02;P08-03","8","docs/bourbaki-analysis.md;analysis/dependency-report.json;experiments/hypothesis-weakening/;analysis/abstraction-candidates.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"24","DEPENDENCY MICROSCOPY","855","fe48ffea0ba51703ed4e780072110d83e40b1df159001471f386ca8fef9c8698","类型、体、类型类、模块、语义和教学依赖分开，不能都由文本相似生成。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P02-03;P08-01","2;8","formal/;schemas/;data/formal/;docs/verification-policy.md;docs/bourbaki-analysis.md;analysis/dependency-report.json;experiments/hypothesis-weakening/;analysis/abstraction-candidates.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"25","HYPOTHESIS WEAKENING","874","93026663c6c31e3fd0c55805a0a2d3d87d62b532b7ea708f5c981ee3915f49e7","弱化实验明确搜索空间与预算；四类科学结果分开，证明失败不等于假。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P08-02;P09-D","8;9","docs/bourbaki-analysis.md;analysis/dependency-report.json;experiments/hypothesis-weakening/;analysis/abstraction-candidates.json;research/phase-9/;research/phase-9/index.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"26","VERIFIED ABSTRACTION DISCOVERY","911","32096e07a1ec2e2f7df47b5acba9ddbe7049cb9c73b8fa101d3d9f7d6117a586","抽象成功要求一般陈述/一般证明及至少三个原实例的形式推导，可得时有保留例。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P08-03;P09-E","8;9","docs/bourbaki-analysis.md;analysis/dependency-report.json;experiments/hypothesis-weakening/;analysis/abstraction-candidates.json;research/phase-9/;research/phase-9/index.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"27","CROSS-THEORY TRANSPORT","947","46a9351c465a9ab82d5408e83d3ab360f082b5ad3c0c00cf02be481d7f309b7c","跨理论传输需真实接口与保持条件，不靠名称/语义相似。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P09-F","9","research/phase-9/;research/phase-9/index.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"28","PROOF COMPARISON","970","2dbe774774337083fb1b79b85e26c00d81cb1010e9de38f32b5f996a6f24e1e2","多证明共存并保存策略/依赖/结构/一般性/教学性；proof irrelevance不等于策略相同。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P05-06;P09-A;P09-E","5;9","data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md;research/phase-9/;research/phase-9/index.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"29","MATHEMATICAL KNOWLEDGE EMERGENCE","994","6ac244edd1f041a2d5e7edf0c258008b65402f978be20572a7e0a0ee512c29ad","涌现来自可追溯共同结构/图群落等；视觉区域不授予定理/新领域/已验证抽象身份。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P03-01;P03-02;P08-03;P09-E","3;8;9","data/visual-slice/;tests/navigation/;benchmarks/visual/;docs/bourbaki-analysis.md;analysis/dependency-report.json;experiments/hypothesis-weakening/;analysis/abstraction-candidates.json;research/phase-9/;research/phase-9/index.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"30","MATHEMATICS-WIDE ONTOLOGY","1031","44358c420761e1583d1fbc8fc4f89602b52400826a79637decb939d7790cb106","数学全景覆盖经典/现代/专门/前沿/物理/形式基础/理论CS/应用，不能只凭模型记忆。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P01-02;P01-03;P01-04","1","ontology/math_outline.md;ontology/math_registry.json;ontology/audit.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"31","MATHEMATICAL LANDSCAPE RESEARCH SOURCES","1055","142c1e7607f3e5a3808d94ff3c0ceeb8e5b1ad42c6592d82b396cc809c7b3df8","实际核查官方分类、研究机构、会议/期刊/书籍/综述等来源，前沿用近期证据。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P01-03;P01-04;P01-05","1","ontology/math_outline.md;ontology/math_registry.json;ontology/audit.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"32","ONTOLOGY PHASE OUTPUT FORMAT","1087","2ff3a9ea788a48200b05201580d9592bcb65c7f4f4d43d1c3bf53c0b171289c5","三个工件：纯标题大纲、稳定注册表、基准/来源/前沿/缺口审计；标题内无说明/证明/引用。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P01-01;P01-06","1","ontology/math_outline.md;ontology/math_registry.json;ontology/audit.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"33","MATHEMATICS COVERAGE METRICS","1146","2fdd4833521d8e7c317dad13465b1c85b5a8af1b21bfa0c45312f8131213a16c","MSC一级与arXiv已取得分类映射100%，每个实质节点有支持来源；不宣称100%数学。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P01-02;P01-03","1","ontology/math_outline.md;ontology/math_registry.json;ontology/audit.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"34","FRONTIER AUDIT","1182","8ac9098ee3ca8968743bc9953e72953cad125c97ed6476e7081a569c552e1ed1","十二宏区各至少两个活跃前沿，有实质近期证据；不足明确不确定。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P01-04;P01-05","1","ontology/math_outline.md;ontology/math_registry.json;ontology/audit.json","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"35","FIRST KNOWLEDGE-TOPOS VISUAL PROTOTYPE","1211","bb590bc9aeeed479338d750cfcf0c632c51a44e3d6c04b3ba2c9e63f25921eb9","先做Group→Action→Representation连续小切片，成功前不扩张千节点。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P03-01;P03-02;P03-03","3","data/visual-slice/;tests/navigation/;benchmarks/visual/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"36","VISUAL ACCEPTANCE CRITERIA","1259","3a56ab069460a5efa98ba6ae6c922222e06e173946d1f354f50a98e13b6d0350","150可见概念/400关系固定场景，median≥45FPS、约1.2秒稳定、无漂移/清屏，必须实测。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P03-04;P03-05;P10-04","3;10","data/visual-slice/;tests/navigation/;benchmarks/visual/;benchmarks/scale/;docs/scale-report.md;docs/release-gate.md;docs/deployment.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"37","ACCESSIBILITY AND READING QUALITY","1289","33148f7b1b8d8e1394e4fab11b5758f1966ef0c0b49514e8659e686e17b0f178","键盘、减少动画、冻结布局、高对比、焦点与文本选择；无需动画也可读证明。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P03-06","3","data/visual-slice/;tests/navigation/;benchmarks/visual/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"38","INITIAL EXECUTABLE-NOTES BENCHMARK","1310","9effff0e0db16ac5334b32073e357ad3579c143cabe086bd96dc31cf0b436664","至少12定理/4主题/6证明模式/60实质步骤，完整原文/形式/对齐/图/证据，不按语法凑数。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P04-01;P04-02","4","notes/benchmark-12/;data/notes/;benchmarks/notes/manifest.json;reviews/notes/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"39","ALIGNMENT ACCEPTANCE CRITERIA","1352","d27659d20b8925510df35dbf1fbcd3511ba79bcfe60ff670f85c28ca4a358eed","十二单元冻结集所有原文步骤→全部形式对应和反向导航均100%；不外推通用准确率。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P05-01;P05-02","5","data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"40","AUTHOR-FAITHFULNESS TEST","1382","3ad487972c1cccef135b8a4ad3d0ab63cc9945f60276c6a5deaff60c5fa2727d","至少12对同结论不同策略，错误标忠于作者为0。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P04-06;P05-03","4;5","notes/benchmark-12/;data/notes/;benchmarks/notes/manifest.json;reviews/notes/;data/alignments/;tests/alignment/;tests/versioning/;docs/alignment-policy.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"41","LIVE-EDIT ACCEPTANCE TEST","1413","8108d8a0be63f750fb3a176f29cf923888fa9125a169f6f6da3186a471816d80","至少60真实编辑用例包含有效/语法/类型/应用/未闭合/假设/重写/修复，状态与Lean100%一致。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P06-01","6","tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"42","STALE-RESULT RACE CONDITION TEST","1444","a577d01ba5d96f291a38ead9ef107c17c94aa5442edb2aced37f4504ecef14d3","至少30快速乱序编辑序列，旧响应覆盖当前修订为0。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P06-02","6","tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"43","INTERACTIVE LEAN PERFORMANCE TARGET","1466","925d5391cb95bc9f32b84cf97da461d3caed16c2dcf37bb859594f0561bb6983","固定预热环境编辑延迟p50≤1.5s/p95≤4s，实测瓶颈；只读阅读不依赖实时编译。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P06-04;P06-06;P10-04","6;10","tests/live-edit/;tests/race/;tests/sandbox/;benchmarks/lean-latency/;docs/security-boundary.md;benchmarks/scale/;docs/scale-report.md;docs/release-gate.md;docs/deployment.md","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
"44","GRAPH PROVE TEST CORPUS","1487","7c9aa9e31d12f3c4945da6e97bede088543c220b11a540a5f1d6045c6a9b4ae9","八操作每类10有效/8无效，共80/64/144；有效义务及补全路线通过，无效拒绝或不验证。","M","Full original Master read and mapped; Roadmap provides phase refinements","e3ff6b57f67b198f81cb8234aa835c9e5bf1c12c4c6a5a3763a8c60074141619","P07-01;P07-02","7","docs/graph-prove-supported-subset.md;benchmarks/graph-prove/operations/;benchmarks/graph-prove/roundtrip/","PASS","true","NOT_RUN","false","Mapping PASS only; does not assert feature implementation, Lean verification or human review"
